,Catégorie,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age,Cat_clust,Frequency,Montant
0,Loyal,53248.19069767442,0.3930232558139535,0.7372093023255814,31.51860465116279,250.58139534883722,18.62093023255814,97.98372093023256,27.490697674418605,19.269767441860466,45.402325581395345,3.441860465116279,5.402325581395349,2.316279069767442,6.406976744186046,5.625581395348838,0.06279069767441861,0.08139534883720931,0.011627906976744186,0.030232558139534883,0.0069767441860465115,0.009302325581395349,0.14883720930232558,46.03488372093023,0.0,14.125581395348837,459.3488372093023
1,New Customers,33329.253141831236,0.8132854578096947,0.43087971274685816,32.129263913824055,22.220825852782763,3.7881508078994615,14.107719928186714,5.339317773788151,3.5960502692998206,11.800718132854579,1.8240574506283662,1.666068222621185,0.3303411131059246,2.8922800718132855,6.542190305206463,0.0807899461400359,0.005385996409335727,0.0,0.0,0.003590664272890485,0.012567324955116697,0.11490125673249552,41.104129263913826,1.0,4.888689407540395,60.852782764811494
2,Prenium,71977.31854838709,0.06451612903225806,0.4475806451612903,50.45967741935484,681.4314516129032,55.91129032258065,375.76209677419354,82.98387096774194,58.818548387096776,77.17338709677419,2.0443548387096775,5.830645161290323,5.69758064516129,8.82258064516129,3.782258064516129,0.0846774193548387,0.12903225806451613,0.1774193548387097,0.16129032258064516,0.024193548387096774,0.012096774193548387,0.22983870967741934,46.88306451612903,2.0,20.350806451612904,1332.0806451612902
3,Sleeping,52264.229508196724,0.4453551912568306,0.49863387978142076,82.52049180327869,304.1666666666667,26.5724043715847,175.0724043715847,37.41393442622951,28.459016393442624,44.69535519125683,2.2704918032786887,4.021857923497268,2.709016393442623,5.752732240437158,5.243169398907104,0.06693989071038252,0.0778688524590164,0.07240437158469945,0.056010928961748634,0.01366120218579235,0.00819672131147541,0.08060109289617487,43.98770491803279,3.0,12.48360655737705,616.379781420765
4,champion,73977.07983193277,0.046218487394957986,0.3445378151260504,15.911764705882353,678.4873949579832,61.48739495798319,409.00840336134456,84.38235294117646,58.95798319327731,78.34033613445378,1.911764705882353,5.739495798319328,5.529411764705882,8.57563025210084,3.7605042016806722,0.08403361344537816,0.15546218487394958,0.24369747899159663,0.19747899159663865,0.037815126050420166,0.0,0.36134453781512604,45.1764705882353,4.0,19.84453781512605,1370.6638655462184
